Report Date,2025-04-18

Instance ID,Name,State
i-05cc604e17f8cec3f,migration-ojt-honnbann1,stopped
i-0e6553baefebb744b,lms,stopping
i-035cd2d49fa0614bd,linux-test-20250411,running

Summary
Running Instance,1
Stopped Instance,1
